"gene_id" "chromosome" "geneStart"
"2176" "ENSG00000100226.11" "chr22" 39101728
"2177" "ENSG00000100227.13" "chr22" 42979727
"2178" "ENSG00000100228.8" "chr22" 23487513
"2179" "ENSG00000100234.11" "chr22" 33197687
"2180" "ENSG00000100239.11" "chr22" 50781733
"2181" "ENSG00000100241.16" "chr22" 50883429
"2182" "ENSG00000100242.11" "chr22" 39130730
"2183" "ENSG00000100243.16" "chr22" 43013846
"2184" "ENSG00000100246.8" "chr22" 39174513
"2185" "ENSG00000100249.4" "chr22" 29454660
"2186" "ENSG00000100253.8" "chr22" 50925213
"2187" "ENSG00000100258.13" "chr22" 50941376
"2188" "ENSG00000100263.9" "chr22" 29655841
"2189" "ENSG00000100266.13" "chr22" 43231418
"2190" "ENSG00000100271.12" "chr22" 43435522
"2191" "ENSG00000100276.9" "chr22" 29708922
"2192" "ENSG00000100280.12" "chr22" 29723669
"2193" "ENSG00000100281.9" "chr22" 35653445
"2194" "ENSG00000100284.16" "chr22" 35695268
"2195" "ENSG00000100285.9" "chr22" 29876219
"2196" "ENSG00000100288.15" "chr22" 51017378
"2197" "ENSG00000100290.2" "chr22" 43506754
"2198" "ENSG00000100292.12" "chr22" 35776354
"2199" "ENSG00000100294.8" "chr22" 43528212
"2200" "ENSG00000100296.9" "chr22" 29901868
"2201" "ENSG00000100297.11" "chr22" 35796056
"2202" "ENSG00000100298.11" "chr22" 39493229
"2203" "ENSG00000100299.13" "chr22" 51061182
"2204" "ENSG00000100300.13" "chr22" 43547520
"2205" "ENSG00000100302.6" "chr22" 35936915
"2206" "ENSG00000100304.12" "chr22" 43562628
"2207" "ENSG00000100307.8" "chr22" 39516172
"2208" "ENSG00000100311.12" "chr22" 39619364
"2209" "ENSG00000100312.6" "chr22" 51176624
"2210" "ENSG00000100314.3" "chr22" 30116073
"2211" "ENSG00000100316.11" "chr22" 39708887
"2212" "ENSG00000100319.11" "chr22" 30126945
"2213" "ENSG00000100320.18" "chr22" 36134783
"2214" "ENSG00000100321.10" "chr22" 39745930
"2215" "ENSG00000100324.9" "chr22" 39795746
"2216" "ENSG00000100325.10" "chr22" 30184597
"2217" "ENSG00000100330.11" "chr22" 30279144
"2218" "ENSG00000100335.8" "chr22" 39895437
"2219" "ENSG00000100336.13" "chr22" 36585172
"2220" "ENSG00000100341.7" "chr22" 44275558
"2221" "ENSG00000100342.16" "chr22" 36649056
"2222" "ENSG00000100344.6" "chr22" 44319619
"2223" "ENSG00000100345.16" "chr22" 36677327
"2224" "ENSG00000100346.13" "chr22" 39966758
"2225" "ENSG00000100347.10" "chr22" 44351301
"2226" "ENSG00000100348.5" "chr22" 36863083
"2227" "ENSG00000100350.10" "chr22" 36883237
"2228" "ENSG00000100351.12" "chr22" 40297086
"2229" "ENSG00000100353.13" "chr22" 36906897
"2230" "ENSG00000100354.16" "chr22" 40440821
"2231" "ENSG00000100359.16" "chr22" 40766595
"2232" "ENSG00000100360.10" "chr22" 37154246
"2233" "ENSG00000100362.8" "chr22" 37196728
"2234" "ENSG00000100364.14" "chr22" 45586219
"2235" "ENSG00000100365.10" "chr22" 37257030
"2236" "ENSG00000100368.9" "chr22" 37309670
"2237" "ENSG00000100372.10" "chr22" 41165634
"2238" "ENSG00000100373.5" "chr22" 45680863
"2239" "ENSG00000100376.7" "chr22" 45704849
"2240" "ENSG00000100379.13" "chr22" 37447779
"2241" "ENSG00000100380.8" "chr22" 41220539
"2242" "ENSG00000100385.9" "chr22" 37521878
"2243" "ENSG00000100387.8" "chr22" 41347351
"2244" "ENSG00000100393.9" "chr22" 41487790
"2245" "ENSG00000100395.10" "chr22" 41601209
"2246" "ENSG00000100399.11" "chr22" 41625517
"2247" "ENSG00000100401.15" "chr22" 41641615
"2248" "ENSG00000100403.10" "chr22" 41697526
"2249" "ENSG00000100410.3" "chr22" 41855721
"2250" "ENSG00000100412.11" "chr22" 41865129
"2251" "ENSG00000100413.12" "chr22" 41921808
"2252" "ENSG00000100416.8" "chr22" 46726772
"2253" "ENSG00000100417.7" "chr22" 41972898
"2254" "ENSG00000100418.7" "chr22" 41994032
"2255" "ENSG00000100422.9" "chr22" 47080308
"2256" "ENSG00000100425.14" "chr22" 50166931
"2257" "ENSG00000100426.6" "chr22" 50247490
"2258" "ENSG00000100427.11" "chr22" 50497820
"2259" "ENSG00000100429.13" "chr22" 50683612
"2260" "ENSG00000100433.11" "chr14" 88649113
"2261" "ENSG00000100439.6" "chr14" 23067146
"2262" "ENSG00000100441.5" "chr14" 24898492
"2263" "ENSG00000100442.6" "chr14" 45584803
"2264" "ENSG00000100445.12" "chr14" 24908972
"2265" "ENSG00000100448.3" "chr14" 25042728
"2266" "ENSG00000100450.8" "chr14" 25075686
"2267" "ENSG00000100453.8" "chr14" 25100160
"2268" "ENSG00000100461.13" "chr14" 23369854
"2269" "ENSG00000100462.11" "chr14" 23389720
"2270" "ENSG00000100473.11" "chr14" 31343720
"2271" "ENSG00000100478.10" "chr14" 31494312
"2272" "ENSG00000100479.8" "chr14" 50110273
"2273" "ENSG00000100483.9" "chr14" 50575350
"2274" "ENSG00000100485.7" "chr14" 50583847
"2275" "ENSG00000100490.5" "chr14" 50796310
"2276" "ENSG00000100503.19" "chr14" 51186481
"2277" "ENSG00000100504.12" "chr14" 51324609
"2278" "ENSG00000100505.9" "chr14" 51441980
"2279" "ENSG00000100519.7" "chr14" 53173890
"2280" "ENSG00000100522.4" "chr14" 53241912
"2281" "ENSG00000100523.10" "chr14" 53510686
"2282" "ENSG00000100526.15" "chr14" 54863567
"2283" "ENSG00000100528.7" "chr14" 54893654
"2284" "ENSG00000100532.7" "chr14" 54976530
"2285" "ENSG00000100554.7" "chr14" 67761088
"2286" "ENSG00000100557.5" "chr14" 57936019
"2287" "ENSG00000100558.4" "chr14" 67853700
"2288" "ENSG00000100564.4" "chr14" 68048672
"2289" "ENSG00000100565.11" "chr14" 77292715
"2290" "ENSG00000100567.8" "chr14" 58711549
"2291" "ENSG00000100568.6" "chr14" 68113792
"2292" "ENSG00000100575.9" "chr14" 58875212
"2293" "ENSG00000100577.14" "chr14" 77787227
"2294" "ENSG00000100578.10" "chr14" 58894103
"2295" "ENSG00000100580.7" "chr14" 77801364
"2296" "ENSG00000100583.4" "chr14" 77843032
"2297" "ENSG00000100591.3" "chr14" 77924213
"2298" "ENSG00000100592.11" "chr14" 59655364
"2299" "ENSG00000100593.13" "chr14" 77940740
"2300" "ENSG00000100596.2" "chr14" 77972340
"2301" "ENSG00000100599.11" "chr14" 92980118
"2302" "ENSG00000100600.10" "chr14" 93170152
"2303" "ENSG00000100601.5" "chr14" 78138747
"2304" "ENSG00000100603.9" "chr14" 78183942
"2305" "ENSG00000100604.8" "chr14" 93389425
"2306" "ENSG00000100605.12" "chr14" 93403259
"2307" "ENSG00000100612.9" "chr14" 60610838
"2308" "ENSG00000100614.13" "chr14" 60712470
"2309" "ENSG00000100625.8" "chr14" 61176246
"2310" "ENSG00000100626.12" "chr14" 69725994
"2311" "ENSG00000100628.7" "chr14" 94400499
"2312" "ENSG00000100629.12" "chr14" 80943330
"2313" "ENSG00000100632.6" "chr14" 69846848
"2314" "ENSG00000100644.12" "chr14" 62162231
"2315" "ENSG00000100647.7" "chr14" 70078313
"2316" "ENSG00000100650.11" "chr14" 70193617
"2317" "ENSG00000100652.4" "chr14" 70242134
"2318" "ENSG00000100664.6" "chr14" 103799881
"2319" "ENSG00000100665.7" "chr14" 95027428
"2320" "ENSG00000100678.14" "chr14" 70510934
"2321" "ENSG00000100697.10" "chr14" 95552565
"2322" "ENSG00000100711.9" "chr14" 104182067
"2323" "ENSG00000100714.11" "chr14" 64854749
"2324" "ENSG00000100721.6" "chr14" 96176304
"2325" "ENSG00000100722.14" "chr14" 89029253
"2326" "ENSG00000100726.10" "chr16" 1543345
"2327" "ENSG00000100731.11" "chr14" 71374122
"2328" "ENSG00000100739.6" "chr14" 96722161
"2329" "ENSG00000100744.10" "chr14" 96829814
"2330" "ENSG00000100749.3" "chr14" 97263641
"2331" "ENSG00000100764.9" "chr14" 90722839
"2332" "ENSG00000100767.11" "chr14" 73704205
"2333" "ENSG00000100784.5" "chr14" 91336799
"2334" "ENSG00000100796.13" "chr14" 91923955
"2335" "ENSG00000100802.10" "chr14" 23456110
"2336" "ENSG00000100804.14" "chr14" 23485752
"2337" "ENSG00000100811.6" "chr14" 100704635
"2338" "ENSG00000100813.10" "chr14" 23527773
"2339" "ENSG00000100814.13" "chr14" 20779527
"2340" "ENSG00000100815.8" "chr14" 92432335
"2341" "ENSG00000100823.7" "chr14" 20923350
"2342" "ENSG00000100836.6" "chr14" 23790498
"2343" "ENSG00000100842.8" "chr14" 23825611
"2344" "ENSG00000100852.8" "chr14" 32545320
"2345" "ENSG00000100865.10" "chr14" 102808956
"2346" "ENSG00000100867.10" "chr14" 24099324
"2347" "ENSG00000100883.7" "chr14" 35451163
"2348" "ENSG00000100884.5" "chr14" 24540046
"2349" "ENSG00000100888.8" "chr14" 21853353
"2350" "ENSG00000100889.7" "chr14" 24563262
"2351" "ENSG00000100890.11" "chr14" 35591052
"2352" "ENSG00000100897.13" "chr14" 24583404
"2353" "ENSG00000100902.6" "chr14" 35747839
"2354" "ENSG00000100906.6" "chr14" 35870717
"2355" "ENSG00000100908.9" "chr14" 24608174
"2356" "ENSG00000100911.9" "chr14" 24612574
"2357" "ENSG00000100916.9" "chr14" 36295524
"2358" "ENSG00000100918.8" "chr14" 24641062
"2359" "ENSG00000100926.10" "chr14" 24658349
"2360" "ENSG00000100934.10" "chr14" 39501123
"2361" "ENSG00000100938.13" "chr14" 24701628
"2362" "ENSG00000100941.4" "chr14" 39644387
"2363" "ENSG00000100949.10" "chr14" 24734744
"2364" "ENSG00000100968.9" "chr14" 24834879
"2365" "ENSG00000100979.10" "chr20" 44527399
"2366" "ENSG00000100982.7" "chr20" 44563267
"2367" "ENSG00000100983.5" "chr20" 33516236
"2368" "ENSG00000100985.7" "chr20" 44637547
"2369" "ENSG00000100987.10" "chr20" 25051521
"2370" "ENSG00000100991.7" "chr20" 33590207
"2371" "ENSG00000100994.7" "chr20" 25228705
"2372" "ENSG00000100997.14" "chr20" 25275379
"2373" "ENSG00000101000.4" "chr20" 33759876
"2374" "ENSG00000101003.8" "chr20" 25388363
"2375" "ENSG00000101004.10" "chr20" 25433341
"2376" "ENSG00000101017.9" "chr20" 44746911
"2377" "ENSG00000101019.17" "chr20" 33890369
"2378" "ENSG00000101040.15" "chr20" 45837859
"2379" "ENSG00000101049.10" "chr20" 42187608
"2380" "ENSG00000101052.8" "chr20" 42219571
"2381" "ENSG00000101057.11" "chr20" 42295754
"2382" "ENSG00000101074.3" "chr20" 42965626
"2383" "ENSG00000101076.12" "chr20" 42984340
"2384" "ENSG00000101079.16" "chr20" 35280169
"2385" "ENSG00000101082.9" "chr20" 35240721
"2386" "ENSG00000101084.12" "chr20" 35234137
"2387" "ENSG00000101096.15" "chr20" 50003494
"2388" "ENSG00000101098.8" "chr20" 43380449
"2389" "ENSG00000101104.8" "chr20" 43538703
"2390" "ENSG00000101109.7" "chr20" 43595115
"2391" "ENSG00000101115.8" "chr20" 50400581
"2392" "ENSG00000101126.11" "chr20" 49505585
"2393" "ENSG00000101132.5" "chr20" 52824386
"2394" "ENSG00000101134.7" "chr20" 53092136
"2395" "ENSG00000101138.7" "chr20" 54967427
"2396" "ENSG00000101144.8" "chr20" 55743804
"2397" "ENSG00000101146.8" "chr20" 55926066
"2398" "ENSG00000101150.13" "chr20" 62496596
"2399" "ENSG00000101152.6" "chr20" 62526518
"2400" "ENSG00000101158.8" "chr20" 57556263
"2401" "ENSG00000101160.9" "chr20" 57570240
"2402" "ENSG00000101161.6" "chr20" 62612488
"2403" "ENSG00000101162.3" "chr20" 57594309
"2404" "ENSG00000101166.11" "chr20" 57608200
"2405" "ENSG00000101180.11" "chr20" 60790026
"2406" "ENSG00000101181.13" "chr20" 60758085
"2407" "ENSG00000101182.10" "chr20" 60711791
"2408" "ENSG00000101187.11" "chr20" 61273797
"2409" "ENSG00000101188.4" "chr20" 61340189
"2410" "ENSG00000101189.5" "chr20" 61427805
"2411" "ENSG00000101190.8" "chr20" 61472467
"2412" "ENSG00000101191.12" "chr20" 61509090
"2413" "ENSG00000101193.6" "chr20" 61569471
"2414" "ENSG00000101194.13" "chr20" 61584052
"2415" "ENSG00000101197.8" "chr20" 61867235
"2416" "ENSG00000101198.10" "chr20" 61872136
"2417" "ENSG00000101199.8" "chr20" 61904137
"2418" "ENSG00000101200.5" "chr20" 3063202
"2419" "ENSG00000101203.12" "chr20" 61924538
"2420" "ENSG00000101204.11" "chr20" 61975420
"2421" "ENSG00000101210.6" "chr20" 62119366
"2422" "ENSG00000101213.5" "chr20" 62159778
"2423" "ENSG00000101216.6" "chr20" 62218955
"2424" "ENSG00000101220.13" "chr20" 3734155
"2425" "ENSG00000101222.8" "chr20" 3758151
"2426" "ENSG00000101224.13" "chr20" 3767578
"2427" "ENSG00000101230.5" "chr20" 13202418
"2428" "ENSG00000101236.12" "chr20" 3907956
"2429" "ENSG00000101246.15" "chr20" 62329996
"2430" "ENSG00000101247.13" "chr20" 13765596
"2431" "ENSG00000101251.7" "chr20" 13829893
"2432" "ENSG00000101265.11" "chr20" 4760669
"2433" "ENSG00000101290.9" "chr20" 5107432
"2434" "ENSG00000101292.6" "chr20" 5282317
"2435" "ENSG00000101294.12" "chr20" 30102231
"2436" "ENSG00000101298.9" "chr20" 1246960
"2437" "ENSG00000101306.6" "chr20" 30407111
"2438" "ENSG00000101307.11" "chr20" 1544167
"2439" "ENSG00000101310.10" "chr20" 18488137
"2440" "ENSG00000101311.11" "chr20" 6055492
"2441" "ENSG00000101323.4" "chr20" 7863628
"2442" "ENSG00000101327.4" "chr20" 1959403
"2443" "ENSG00000101331.11" "chr20" 30598245
"2444" "ENSG00000101333.12" "chr20" 9049410
"2445" "ENSG00000101335.5" "chr20" 35169887
"2446" "ENSG00000101336.8" "chr20" 30639991
"2447" "ENSG00000101337.11" "chr20" 30697309
"2448" "ENSG00000101342.5" "chr20" 35504524
"2449" "ENSG00000101343.10" "chr20" 20015012
"2450" "ENSG00000101346.7" "chr20" 30795683
"2451" "ENSG00000101347.7" "chr20" 35518632
"2452" "ENSG00000101349.12" "chr20" 9518036
"2453" "ENSG00000101350.6" "chr20" 30865467
"2454" "ENSG00000101353.10" "chr20" 35729629
"2455" "ENSG00000101361.10" "chr20" 2632791
"2456" "ENSG00000101363.8" "chr20" 35918041
"2457" "ENSG00000101365.16" "chr20" 2639041
"2458" "ENSG00000101367.8" "chr20" 31407699
"2459" "ENSG00000101384.7" "chr20" 10618332
"2460" "ENSG00000101391.16" "chr20" 31946645
"2461" "ENSG00000101400.5" "chr20" 31995761
"2462" "ENSG00000101405.3" "chr20" 3052266
"2463" "ENSG00000101407.8" "chr20" 36611409
"2464" "ENSG00000101412.9" "chr20" 32263489
"2465" "ENSG00000101413.7" "chr20" 36661948
"2466" "ENSG00000101417.7" "chr20" 32294512
"2467" "ENSG00000101421.3" "chr20" 32399110
"2468" "ENSG00000101425.8" "chr20" 36888551
"2469" "ENSG00000101435.4" "chr20" 23545369
"2470" "ENSG00000101438.3" "chr20" 37353105
"2471" "ENSG00000101439.4" "chr20" 23608534
"2472" "ENSG00000101440.5" "chr20" 32782375
"2473" "ENSG00000101441.4" "chr20" 23666277
"2474" "ENSG00000101442.8" "chr20" 37377085
"2475" "ENSG00000101443.13" "chr20" 44098346
"2476" "ENSG00000101444.8" "chr20" 32868074
"2477" "ENSG00000101445.5" "chr20" 37434348
"2478" "ENSG00000101446.7" "chr20" 44141101
"2479" "ENSG00000101447.9" "chr20" 37554955
"2480" "ENSG00000101448.9" "chr20" 44165625
"2481" "ENSG00000101452.10" "chr20" 37590942
"2482" "ENSG00000101457.8" "chr20" 44420576
"2483" "ENSG00000101460.8" "chr20" 33134658
"2484" "ENSG00000101463.5" "chr20" 24449835
"2485" "ENSG00000101464.6" "chr20" 33148346
"2486" "ENSG00000101470.5" "chr20" 44451853
"2487" "ENSG00000101473.12" "chr20" 44470360
"2488" "ENSG00000101474.7" "chr20" 24943561
"2489" "ENSG00000101489.14" "chr18" 34823010
"2490" "ENSG00000101493.6" "chr18" 74069644
"2491" "ENSG00000101542.5" "chr18" 59000815
"2492" "ENSG00000101544.4" "chr18" 77866915
"2493" "ENSG00000101546.8" "chr18" 77794358
"2494" "ENSG00000101558.9" "chr18" 9913999
"2495" "ENSG00000101574.10" "chr18" 2537524
"2496" "ENSG00000101577.5" "chr18" 2916992
"2497" "ENSG00000101596.10" "chr18" 2655737
"2498" "ENSG00000101605.8" "chr18" 3066805
"2499" "ENSG00000101608.8" "chr18" 3247479
"2500" "ENSG00000101624.6" "chr18" 12661832
"2501" "ENSG00000101638.9" "chr18" 44259081
"2502" "ENSG00000101639.14" "chr18" 12991361
"2503" "ENSG00000101654.13" "chr18" 13726659
"2504" "ENSG00000101665.4" "chr18" 46446223
"2505" "ENSG00000101670.7" "chr18" 47087069
"2506" "ENSG00000101680.9" "chr18" 6941743
"2507" "ENSG00000101695.4" "chr18" 29598335
"2508" "ENSG00000101745.11" "chr18" 9136226
"2509" "ENSG00000101746.11" "chr18" 31431064
"2510" "ENSG00000101751.6" "chr18" 51795774
"2511" "ENSG00000101752.7" "chr18" 19284918
"2512" "ENSG00000101773.12" "chr18" 20378224
"2513" "ENSG00000101782.10" "chr18" 21032787
"2514" "ENSG00000101811.9" "chrX" 100075384
"2515" "ENSG00000101812.8" "chrX" 103268269
"2516" "ENSG00000101825.7" "chrX" 3226606
"2517" "ENSG00000101842.9" "chrX" 107288200
"2518" "ENSG00000101843.14" "chrX" 107327437
"2519" "ENSG00000101844.13" "chrX" 107334898
"2520" "ENSG00000101846.6" "chrX" 7137497
"2521" "ENSG00000101849.11" "chrX" 9431335
"2522" "ENSG00000101850.8" "chrX" 9693386
"2523" "ENSG00000101856.8" "chrX" 118370216
"2524" "ENSG00000101868.6" "chrX" 24712036
"2525" "ENSG00000101871.10" "chrX" 10413350
"2526" "ENSG00000101882.5" "chrX" 119059014
"2527" "ENSG00000101883.4" "chrX" 119243011
"2528" "ENSG00000101888.7" "chrX" 108779010
"2529" "ENSG00000101890.4" "chrX" 108616135
"2530" "ENSG00000101892.7" "chrX" 119495967
"2531" "ENSG00000101901.6" "chrX" 110909043
"2532" "ENSG00000101911.8" "chrX" 12809474
"2533" "ENSG00000101916.11" "chrX" 12924739
"2534" "ENSG00000101928.8" "chrX" 134021656
"2535" "ENSG00000101935.5" "chrX" 109437414
"2536" "ENSG00000101938.10" "chrX" 109917084
"2537" "ENSG00000101940.13" "chrX" 48448430
"2538" "ENSG00000101945.12" "chrX" 48553945
"2539" "ENSG00000101951.12" "chrX" 49593863
"2540" "ENSG00000101955.10" "chrX" 38008589
"2541" "ENSG00000101958.9" "chrX" 14547420
"2542" "ENSG00000101966.8" "chrX" 122993574
"2543" "ENSG00000101972.14" "chrX" 123094062
"2544" "ENSG00000101974.10" "chrX" 138808505
"2545" "ENSG00000101977.15" "chrX" 138663929
"2546" "ENSG00000101981.6" "chrX" 138612917
"2547" "ENSG00000101986.8" "chrX" 152990323
"2548" "ENSG00000101997.8" "chrX" 49091927
"2549" "ENSG00000102001.8" "chrX" 49061523
"2550" "ENSG00000102003.6" "chrX" 49044269
"2551" "ENSG00000102007.6" "chrX" 49028273
"2552" "ENSG00000102010.10" "chrX" 15482369
"2553" "ENSG00000102021.6" "chrX" 114524293
"2554" "ENSG00000102024.13" "chrX" 114795501
"2555" "ENSG00000102030.11" "chrX" 153194695
"2556" "ENSG00000102032.8" "chrX" 153200716
"2557" "ENSG00000102034.12" "chrX" 129198849
"2558" "ENSG00000102038.11" "chrX" 128580480
"2559" "ENSG00000102043.11" "chrX" 63444187
"2560" "ENSG00000102048.11" "chrX" 15253410
"2561" "ENSG00000102053.11" "chrX" 64708615
"2562" "ENSG00000102054.13" "chrX" 16857406
"2563" "ENSG00000102057.5" "chrX" 48818639
"2564" "ENSG00000102069.3" "chrX" 142967173
"2565" "ENSG00000102076.5" "chrX" 153409698
"2566" "ENSG00000102078.11" "chrX" 129473874
"2567" "ENSG00000102080.8" "chrX" 153424682
"2568" "ENSG00000102081.9" "chrX" 146993469
"2569" "ENSG00000102096.9" "chrX" 48770459
"2570" "ENSG00000102098.13" "chrX" 18257434
"2571" "ENSG00000102100.10" "chrX" 48760459
"2572" "ENSG00000102103.11" "chrX" 48755195
"2573" "ENSG00000102104.8" "chrX" 18658030
"2574" "ENSG00000102109.7" "chrX" 48689504
"2575" "ENSG00000102119.6" "chrX" 153607557
"2576" "ENSG00000102125.11" "chrX" 153639854
"2577" "ENSG00000102128.6" "chrX" 102192200
"2578" "ENSG00000102144.9" "chrX" 77320685
"2579" "ENSG00000102145.9" "chrX" 48644962
"2580" "ENSG00000102158.15" "chrX" 77081861
"2581" "ENSG00000102172.11" "chrX" 21958691
"2582" "ENSG00000102174.7" "chrX" 22050559
"2583" "ENSG00000102178.8" "chrX" 153712056
"2584" "ENSG00000102181.15" "chrX" 149934810
"2585" "ENSG00000102189.12" "chr12" 93164413
"2586" "ENSG00000102195.7" "chrX" 150345125
"2587" "ENSG00000102218.5" "chrX" 46696375
"2588" "ENSG00000102221.9" "chrX" 46771711
"2589" "ENSG00000102225.11" "chrX" 47077259
"2590" "ENSG00000102226.5" "chrX" 47092089
"2591" "ENSG00000102230.9" "chrX" 24576204
"2592" "ENSG00000102239.4" "chrX" 135570046
"2593" "ENSG00000102241.7" "chrX" 135579238
"2594" "ENSG00000102243.8" "chrX" 135614311
"2595" "ENSG00000102245.3" "chrX" 135730352
"2596" "ENSG00000102265.7" "chrX" 47441712
"2597" "ENSG00000102271.9" "chrX" 86772752
"2598" "ENSG00000102287.12" "chrX" 151121596
"2599" "ENSG00000102290.17" "chrX" 91034260
"2600" "ENSG00000102302.7" "chrX" 54471887
"2601" "ENSG00000102309.8" "chrX" 71401203
"2602" "ENSG00000102312.16" "chrX" 48367350
"2603" "ENSG00000102313.8" "chrX" 54775332
"2604" "ENSG00000102316.12" "chrX" 54834032
"2605" "ENSG00000102317.13" "chrX" 48432837
"2606" "ENSG00000102349.10" "chrX" 56258854
"2607" "ENSG00000102359.5" "chrX" 99899215
"2608" "ENSG00000102362.11" "chrX" 99929488
"2609" "ENSG00000102383.9" "chrX" 74588262
"2610" "ENSG00000102384.9" "chrX" 100353178
"2611" "ENSG00000102385.8" "chrX" 100474758
"2612" "ENSG00000102387.11" "chrX" 100523241
"2613" "ENSG00000102390.6" "chrX" 75392771
"2614" "ENSG00000102393.5" "chrX" 100652791
"2615" "ENSG00000102401.15" "chrX" 100877787
"2616" "ENSG00000102409.9" "chrX" 102470020
"2617" "ENSG00000102445.14" "chr13" 46916139
"2618" "ENSG00000102452.11" "chr13" 101706130
"2619" "ENSG00000102466.11" "chr13" 102372134
"2620" "ENSG00000102468.6" "chr13" 47405685
"2621" "ENSG00000102471.9" "chr13" 80055287
"2622" "ENSG00000102524.7" "chr13" 108903588
"2623" "ENSG00000102531.12" "chr13" 49550048
"2624" "ENSG00000102539.4" "chr13" 49794474
"2625" "ENSG00000102543.10" "chr13" 49822047
"2626" "ENSG00000102547.14" "chr13" 49882786
"2627" "ENSG00000102554.9" "chr13" 73629114
"2628" "ENSG00000102572.10" "chr13" 99102455
"2629" "ENSG00000102575.6" "chr19" 11685475
"2630" "ENSG00000102580.10" "chr13" 96329393
"2631" "ENSG00000102595.14" "chr13" 96453834
"2632" "ENSG00000102606.13" "chr13" 111766906
"2633" "ENSG00000102678.6" "chr13" 22245522
"2634" "ENSG00000102683.6" "chr13" 23755091
"2635" "ENSG00000102699.5" "chr13" 24995064
"2636" "ENSG00000102710.15" "chr13" 37583449
"2637" "ENSG00000102738.6" "chr13" 41303432
"2638" "ENSG00000102743.10" "chr13" 41363548
"2639" "ENSG00000102753.5" "chr13" 50273447
"2640" "ENSG00000102755.6" "chr13" 28874489
"2641" "ENSG00000102760.12" "chr13" 42031695
"2642" "ENSG00000102763.11" "chr13" 42140973
"2643" "ENSG00000102780.12" "chr13" 42614176
"2644" "ENSG00000102781.9" "chr13" 30776767
"2645" "ENSG00000102786.10" "chr13" 51928213
"2646" "ENSG00000102794.5" "chr13" 77522632
"2647" "ENSG00000102796.6" "chr13" 52342129
"2648" "ENSG00000102802.5" "chr13" 31480328
"2649" "ENSG00000102804.10" "chr13" 45007655
"2650" "ENSG00000102805.9" "chr13" 77564795
"2651" "ENSG00000102837.6" "chr13" 53602894
"2652" "ENSG00000102858.8" "chr16" 4666494
"2653" "ENSG00000102870.4" "chr16" 30789778
"2654" "ENSG00000102871.11" "chr16" 67188083
"2655" "ENSG00000102878.11" "chr16" 67197288
"2656" "ENSG00000102879.11" "chr16" 30194148
"2657" "ENSG00000102882.7" "chr16" 30125426
"2658" "ENSG00000102886.10" "chr16" 30116131
"2659" "ENSG00000102890.10" "chr16" 67233014
"2660" "ENSG00000102891.3" "chr16" 56598961
"2661" "ENSG00000102893.11" "chr16" 47495034
"2662" "ENSG00000102897.5" "chr16" 20911190
"2663" "ENSG00000102898.7" "chr16" 67880635
"2664" "ENSG00000102900.8" "chr16" 56764017
"2665" "ENSG00000102901.8" "chr16" 67862060
"2666" "ENSG00000102904.10" "chr16" 67840668
"2667" "ENSG00000102908.16" "chr16" 69598997
"2668" "ENSG00000102910.9" "chr16" 48278207
"2669" "ENSG00000102921.3" "chr16" 48572637
"2670" "ENSG00000102924.7" "chr16" 49311828
"2671" "ENSG00000102931.3" "chr16" 57279010
"2672" "ENSG00000102934.5" "chr16" 57290004
"2673" "ENSG00000102935.7" "chr16" 49521435
"2674" "ENSG00000102962.4" "chr16" 57392684
"2675" "ENSG00000102967.7" "chr16" 72042487
"2676" "ENSG00000102970.6" "chr16" 57438679
"2677" "ENSG00000102974.10" "chr16" 67596310
"2678" "ENSG00000102977.9" "chr16" 67691415
"2679" "ENSG00000102978.8" "chr16" 57496299
"2680" "ENSG00000102981.5" "chr16" 67694849
"2681" "ENSG00000102984.10" "chr16" 71893583
"2682" "ENSG00000102996.4" "chr16" 58059470
"2683" "ENSG00000103005.7" "chr16" 58033450
"2684" "ENSG00000103018.12" "chr16" 69458428
"2685" "ENSG00000103021.5" "chr16" 58265061
"2686" "ENSG00000103023.7" "chr16" 58313901
"2687" "ENSG00000103024.3" "chr16" 1820287
"2688" "ENSG00000103034.10" "chr16" 58496750
"2689" "ENSG00000103035.6" "chr16" 74330673
"2690" "ENSG00000103037.7" "chr16" 58549383
"2691" "ENSG00000103042.4" "chr16" 58699013
"2692" "ENSG00000103043.10" "chr16" 70721342
"2693" "ENSG00000103044.6" "chr16" 69139467
"2694" "ENSG00000103047.3" "chr16" 68877507
"2695" "ENSG00000103051.14" "chr16" 70514471
"2696" "ENSG00000103056.7" "chr16" 68392231
"2697" "ENSG00000103061.7" "chr16" 68318406
"2698" "ENSG00000103064.9" "chr16" 68298433
"2699" "ENSG00000103066.8" "chr16" 68279207
"2700" "ENSG00000103067.7" "chr16" 68263014
"2701" "ENSG00000103089.4" "chr16" 74746853
"2702" "ENSG00000103091.10" "chr16" 74907468
"2703" "ENSG00000103111.10" "chr16" 77224732
"2704" "ENSG00000103121.4" "chr16" 81009698
"2705" "ENSG00000103145.6" "chr16" 3072621
"2706" "ENSG00000103150.4" "chr16" 83932731
"2707" "ENSG00000103154.5" "chr16" 84002237
"2708" "ENSG00000103160.7" "chr16" 84155886
"2709" "ENSG00000103168.12" "chr16" 84211458
"2710" "ENSG00000103174.7" "chr16" 5074845
"2711" "ENSG00000103175.6" "chr16" 84328252
"2712" "ENSG00000103184.7" "chr16" 5008318
